benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash,stride2_size,img_size,stride
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7759407,9551197,264487,197603,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9546571,12672122,7677014,729437,699437,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10396643,4447249,630919,633854,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3990987,4825813,133416,97825,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5413518,6883121,4000206,369638,328200,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5926745,2336513,319717,294472,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1965612,2459725,66116,46522,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2808199,3477859,2158406,183803,161853,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3042031,1287937,159561,146069,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,921667,1280077,33293,21071,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12814349,25298004,29717486,1372999,1124052,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28264853,26002036,1340184,888195,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,16047316,19001965,528962,395575,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10519956,16302937,15023838,926814,834649,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12383476,8641553,729496,704007,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7689620,9544405,264190,197235,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9546303,12668410,7677014,736623,701168,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10445079,4447249,630740,633080,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,4008697,4825813,132636,97812,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5404621,6873551,4009759,368198,328880,83886080,2,512x64x64x8,32
