tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,53237779,55938534,825130,283410,1215499,523140,2830238,4194640,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20675954,33397967,30050801,1596871,272530,1603355,279087,3777130,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,22939564,17273132,1316816,145878,1323207,133626,2483833,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15740247,19100280,401952,141139,396784,131842,1399990,2097200,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18536897,24223020,15348729,1320715,143944,1324102,133389,2472260,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20441363,8884524,1185291,81117,1190298,68075,1834211,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7662021,9651144,197759,76575,198554,66079,744812,1048640,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10792388,13672512,7995113,658646,76307,662459,67125,1269103,16,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11799072,4676636,592359,39109,596669,34252,905233,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4066764,4924128,99503,40584,99161,33159,391392,524368,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5431993,7200106,4304721,329565,40848,333628,33461,656361,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5902802,2565900,293547,22215,298910,17234,471251,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,2011247,2564832,48960,21456,49676,16775,204213,262208,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24082138,48029016,59429673,2135804,534593,2118003,527560,6412550,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54783297,52015590,1628642,291834,2142716,580360,3963297,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,52316941,55937033,825602,283346,1233026,540492,2830203,4194544,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20688813,32405172,30042377,1580232,273230,1607345,269695,3766072,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,22645763,17281579,1320063,146682,1326349,133852,2493503,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15560564,19093488,401776,143932,396531,131661,1422148,2097216,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18512469,26481924,15350196,1321220,141905,1349948,143660,2456446,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,19783584,8884524,1185329,81493,1192169,68172,1837256,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7672351,9649512,197548,76401,198716,66088,743210,1048624,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10745080,13808232,7988321,660229,75660,666024,67707,1265536,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,12020813,4676636,592155,43185,600421,37193,937619,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4055995,4924128,99288,44691,99148,33238,424029,524352,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5454541,6953123,4311513,329422,43324,333973,33759,676017,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5917771,2572692,296328,18353,299350,17332,443152,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1860250,2558040,46412,23283,49370,16713,216281,262192,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24535511,48090219,59429673,2107517,535285,2154245,558768,6389815,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54738959,52014351,1628752,292106,2143653,582670,3965593,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,51224922,55938598,822743,283531,1224236,524800,2828770,4194528,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20694501,31666699,30042377,1580450,273231,1587696,265119,3766292,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23010022,17279924,1317162,146257,1324469,133836,2487202,0,,771751936
