benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_unfold_3_32x64x64x128,dtu,0,234379635,223688316,7784218,3362321,2113929216
tensor_unfold_4_32x64x64x128,cpu,1651948526,1878224601,383666891,34885384,21624033,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,521232987,224192557,7540039,3393363,2113929216
tensor_unfold_1_8x64x64x128,cpu,57425331,80654382,67299322,2699115,2664684,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,32372383,37804956,1057054,790897,-545259520
tensor_unfold_2_8x64x64x128,cpu,44783589,68012959,59693081,3841931,3378799,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,30460393,37807527,1056692,791280,-545259520
tensor_unfold_3_8x64x64x128,cpu,163055871,186293047,59907501,6078100,5276045,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,31740495,37803354,1057016,790820,-545259520
tensor_unfold_4_8x64x64x128,cpu,389003179,412211175,59873585,6891386,5283951,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,107522177,37938090,1063151,795296,-545259520
tensor_unfold_1_32x64x64x128,cpu,188846208,415046514,349553889,13823507,7542564,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,231144454,223699633,7806935,3352856,2113929216
tensor_unfold_2_32x64x64x128,cpu,271048304,497710367,382955920,21854759,14045184,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,226143389,223659975,7836280,3361742,2113929216
tensor_unfold_3_32x64x64x128,cpu,749308471,975883373,383809647,29557280,21633916,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,234316668,223678308,7769210,3360628,2113929216
tensor_unfold_4_32x64x64x128,cpu,1652490161,1878983480,383695652,34942810,21626027,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,521309002,224176450,7555887,3390099,2113929216
tensor_unfold_1_8x64x64x128,cpu,57414135,80690973,67301293,2700722,2666478,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,32366908,37803354,1056939,790790,-545259520
tensor_unfold_2_8x64x64x128,cpu,44793809,68020940,59691629,3841836,3378290,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,30429178,37804804,1056995,790935,-545259520
tensor_unfold_3_8x64x64x128,cpu,163076028,186311673,59918188,6078040,5276977,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,31725779,37803354,1056716,790811,-545259520
tensor_unfold_4_8x64x64x128,cpu,389063677,412276054,59874933,6894993,5283824,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,107426749,37933855,1063095,794965,-545259520
tensor_unfold_1_32x64x64x128,cpu,188854281,415058777,349563667,13790623,7545208,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,231292510,223700526,7801007,3363665,2113929216
tensor_unfold_2_32x64x64x128,cpu,270884335,497426393,382953416,21806405,14039004,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,225997192,223674324,7832584,3360378,2113929216
tensor_unfold_3_32x64x64x128,cpu,749310103,975673115,383795782,29607966,21631384,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,234160773,223673255,7777870,3360167,2113929216
tensor_unfold_4_32x64x64x128,cpu,1652204299,1878804878,383710232,34937814,21626511,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,521405007,224185473,7555597,3391083,2113929216
tensor_unfold_1_8x64x64x128,cpu,57455844,80714367,67307740,2700338,2667021,-545259520
