img_augmentation_256_32,dtu,0,494770995,453680754,5835767,2853233,8471565,4512333,25908938,44042800,,0
img_augmentation_256_64,cpu,26734646347,27583907627,27056377492,31841647,11884670,95467914,22815611,126918990,160,,0
img_augmentation_256_64,dtu,0,1007807261,909712121,11670893,5706619,17521552,9455064,51818108,88091584,,0
img_augmentation_128_4,cpu,412886351,418169939,411084092,347890,178304,1143124,207513,1774322,0,,0
img_augmentation_128_4,dtu,0,10326219,9203943,175608,86874,204105,99572,784521,1376816,,0
img_augmentation_128_8,cpu,828538512,839420953,822128349,748700,354079,2283660,414426,3581348,0,,0
img_augmentation_128_8,dtu,0,19444287,17467293,355495,175503,377021,185626,1587454,2753008,,0
img_augmentation_128_16,cpu,1652640961,1679740707,1647211281,1539042,701207,4650522,877526,7148699,0,,0
img_augmentation_128_16,dtu,0,37438582,34011326,709618,345354,723517,357716,3128362,5505568,,0
img_augmentation_128_32,cpu,3291824781,3392356245,3345346237,4160479,1425963,10129634,2145017,15568158,96,,0
img_augmentation_128_32,dtu,0,71135908,67105311,1388443,690246,1417577,703093,6222253,11010784,,0
img_augmentation_128_64,cpu,6833906081,7038861491,6737895122,8158698,2874265,21616392,5144468,31152803,176,,0
img_augmentation_128_64,dtu,0,246008283,227025003,2923016,1426089,4319684,2311857,12955360,22021696,,0
img_augmentation_256_4,cpu,1626340881,1653440975,1646803553,1821658,702529,5051939,878352,7441877,32,,0
img_augmentation_256_4,dtu,0,38740126,34044193,708979,345608,724789,358551,3129735,5505600,,0
img_augmentation_256_8,cpu,3345887448,3446301521,3344744159,5231596,1429032,10814932,2124894,16663822,304,,0
img_augmentation_256_8,dtu,0,74405938,67103967,1389102,690380,1417671,703114,6223965,11010672,,0
img_augmentation_256_16,cpu,6653377477,6858518542,6736132307,10709216,2889201,22856976,4980066,33822787,304,,0
img_augmentation_256_16,dtu,0,250019765,227024311,2933345,1435747,4303067,2288433,13042086,22035984,,0
img_augmentation_256_32,cpu,13379318349,13793678158,13526727709,20788976,5804385,47580177,11216538,67223998,384,,0
img_augmentation_256_32,dtu,0,495496876,453666625,5858708,2871827,8534536,4559244,26078557,44076288,,0
img_augmentation_256_64,cpu,26723624359,27573022286,27056365792,31755765,11884252,95370068,22766748,126829719,672,,0
img_augmentation_256_64,dtu,0,1007874901,909687689,11672582,5706378,17403221,9446093,51817933,88090704,,0
img_augmentation_128_4,cpu,416840151,422252426,411086418,346738,178159,1145101,209515,1771991,0,,0
img_augmentation_128_4,dtu,0,10294786,9189352,175382,86814,203471,99323,783844,1376816,,0
img_augmentation_128_8,cpu,826311333,837181339,822104425,745524,354175,2286279,413778,3578925,16,,0
img_augmentation_128_8,dtu,0,19424385,17463453,355472,175405,376946,185457,1586666,2753008,,0
img_augmentation_128_16,cpu,1614365676,1641443337,1647149917,1531417,701193,4633314,871026,7140956,16,,0
img_augmentation_128_16,dtu,0,37483991,34042110,709484,345900,724141,358203,3132573,5505600,,0
img_augmentation_128_32,cpu,3343153479,3443432647,3345437525,4156770,1426165,10136379,2149502,15566047,272,,0
img_augmentation_128_32,dtu,0,71586091,67090379,1388408,689996,1417163,703033,6220214,11010608,,0
img_augmentation_128_64,cpu,6829954263,7034866537,6737879240,8130800,2874176,21638855,5144192,31124175,304,,0
img_augmentation_128_64,dtu,0,246172219,227020260,2926440,1427166,4312148,2309736,12967326,22022832,,0
img_augmentation_256_4,cpu,1630570818,1657736018,1646828806,1825168,703087,5063671,885273,7449844,48,,0
img_augmentation_256_4,dtu,0,38719205,34033255,709023,345639,724058,358191,3130031,5505456,,0
img_augmentation_256_8,cpu,3291302783,3391644274,3344640633,5214095,1428874,10847463,2124530,16645053,400,,0
img_augmentation_256_8,dtu,0,73985962,67123318,1388425,690592,1418610,703279,6224999,11010544,,0
img_augmentation_256_16,cpu,6822770478,7027008423,6736345534,10678978,2889417,22886583,4986755,33794293,304,,0
img_augmentation_256_16,dtu,0,249745497,227044549,2923674,1426805,4263681,2263534,12961723,22022000,,0
img_augmentation_256_32,cpu,13376682234,13791654697,13526727992,20813387,5805149,47562875,11229180,67254526,624,,0
img_augmentation_256_32,dtu,0,496146439,453676921,5837641,2853060,8520293,4531003,25909436,44042576,,0
img_augmentation_256_64,cpu,26369798175,27219632550,27055722260,31835330,11885293,95117227,22753167,126917644,512,,0
img_augmentation_256_64,dtu,0,1008005529,909674710,11655012,5705930,17424845,9441974,51796773,88090880,,0
img_augmentation_128_4,cpu,413084508,418392222,411082344,347076,177891,1140819,205695,1770186,16,,0
