benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x2x8,dtu,0,7408237,9551197,264501,197556,385875968
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9566041,12544206,7677014,733257,698100,184549376
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10488586,4447249,630580,633467,184549376
tensor_slicing_512x64x64x8_1x1x2x16,dtu,0,3858061,4825813,134388,97860,184549376
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5416699,7162548,3993414,374165,327879,83886080
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5918700,2336513,319791,294630,83886080
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,2102714,2466517,66517,46607,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2815497,3483913,2158406,183863,161880,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3074036,1287937,161200,146230,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,921763,1280077,33282,21106,33554432
