benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_1_128,col,0,621177,1506453,10789,4347,10538,4994,45550,0,171877880
dbcolproj_83690_1_128,dtu,0,540852,209271,10497,5757,10534,5318,51302,83711,171877880
dbcolproj_83690_2_128,cpu,0,5031383,2266455,326516,21908,180146,10892,501763,0,342387978
dbcolproj_83690_2_128,col,0,1075859,2427043,21641,3828,21187,10255,52264,0,342387978
dbcolproj_83690_2_128,dtu,0,1053054,418496,20978,9607,21049,10517,87355,167424,342387978
dbcolproj_83690_3_128,cpu,0,7038708,3103355,451494,29011,269397,16247,683590,0,514432714
dbcolproj_83690_3_128,col,0,1867841,3354425,32786,5652,32217,15664,78001,0,514432714
dbcolproj_83690_3_128,dtu,0,1583064,627721,31461,14696,31571,15713,133360,251104,514432714
dbcolproj_83690_4_128,cpu,0,8643575,3953839,527035,37212,359163,21946,824721,0,685980259
dbcolproj_83690_4_128,col,0,2826459,4268223,42430,7490,42625,20766,102352,0,685980259
dbcolproj_83690_4_128,dtu,0,2130085,843738,42229,20061,42292,21055,181794,334788,685980259
dbcolproj_83690_5_128,cpu,0,9964094,4790739,575786,41538,448584,27406,908068,0,857049531
dbcolproj_83690_5_128,col,0,3973780,5195605,53151,11061,53869,26197,141642,0,857049531
dbcolproj_83690_5_128,dtu,0,2627930,1046171,52428,24834,52586,26229,224945,418480,857049531
dbcolproj_83690_6_128,cpu,0,11208144,5629635,633253,46543,540484,32756,1005591,0,1027961808
dbcolproj_83690_6_128,col,0,8062172,8262011,66359,15670,99452,51322,191725,0,1027961808
dbcolproj_83690_6_128,dtu,0,3144636,1262188,63156,29626,63351,31522,268772,502176,1027961808
dbcolproj_83690_7_128,cpu,0,12257892,6464539,684899,50909,628411,38157,1092168,0,1199226824
dbcolproj_83690_7_128,col,0,10049140,9542722,77032,19790,114641,59170,235361,0,1199226824
dbcolproj_83690_7_128,dtu,0,6477743,3966035,75739,35221,105304,52126,320897,585880,1199226824
dbcolproj_83690_8_128,cpu,0,13558156,7310229,724673,61001,718028,43668,1212663,0,1370690087
dbcolproj_83690_8_128,col,0,12334309,10812908,87788,24626,133038,69572,284795,0,1370690087
dbcolproj_83690_8_128,dtu,0,7417293,4528881,86816,39594,122459,61061,361720,669568,1370709118
dbcolproj_83690_1_128,cpu,0,2237275,1429555,90548,5948,90894,5472,138124,0,171877880
dbcolproj_83690_1_128,col,0,630467,1506453,10802,3603,10542,4979,39618,0,171877880
dbcolproj_83690_1_128,dtu,0,538075,209271,10493,5523,10535,5300,49445,83744,171877880
dbcolproj_83690_2_128,cpu,0,5036143,2266455,326964,21600,180194,10913,499763,0,342387978
dbcolproj_83690_2_128,col,0,1084664,2427043,21634,3811,21194,10252,52122,0,342387978
dbcolproj_83690_2_128,dtu,0,1057647,418496,20976,9486,21041,10488,86391,167440,342387978
dbcolproj_83690_3_128,cpu,0,7041793,3103355,451838,28680,269345,16281,681269,0,514432714
dbcolproj_83690_3_128,col,0,1824995,3347633,32439,5685,31946,15471,77918,0,514432714
dbcolproj_83690_3_128,dtu,0,1574969,627721,31464,14471,31564,15713,131531,251104,514432714
dbcolproj_83690_4_128,cpu,0,8646768,3947047,526198,36580,360325,21810,818821,0,685980259
dbcolproj_83690_4_128,col,0,2920619,4275015,42646,7599,42917,20869,103436,0,685980259
dbcolproj_83690_4_128,dtu,0,2122353,843738,42109,19839,42307,21083,179862,334808,685980259
dbcolproj_83690_5_128,cpu,0,9978949,4785501,575328,41979,449651,27252,911145,0,857049531
dbcolproj_83690_5_128,col,0,3966372,5195605,53082,11049,53721,26087,141474,0,857049531
dbcolproj_83690_5_128,dtu,0,2635239,1053044,52599,24776,52831,26289,224652,418496,857049531
dbcolproj_83690_6_128,cpu,0,11252413,5638673,633890,46998,539333,32882,1009864,0,1027961808
dbcolproj_83690_6_128,col,0,8051227,8258897,66089,15706,97850,50838,191735,0,1027961808
dbcolproj_83690_6_128,dtu,0,3120133,1255396,62914,29692,63115,31437,269066,502160,1027990903
dbcolproj_83690_7_128,cpu,0,12313703,6464539,684863,51564,628414,38156,1097365,0,1199226824
dbcolproj_83690_7_128,col,0,10092763,9544929,77172,20005,118445,60386,237215,0,1199226824
dbcolproj_83690_7_128,dtu,0,6501648,3964166,75700,35101,107870,54238,319875,585888,1199226824
dbcolproj_83690_8_128,cpu,0,13532411,7308231,724486,60940,718057,43677,1211996,0,1370690087
dbcolproj_83690_8_128,col,0,12407442,10812776,87691,24723,135198,68591,285476,0,1370690087
dbcolproj_83690_8_128,dtu,0,7444184,4548972,86919,39585,127535,65683,361739,669552,1370690087
dbcolproj_83690_1_128,cpu,0,2241908,1422763,90219,6869,90649,5328,145172,0,171877880
dbcolproj_83690_1_128,col,0,658088,1513245,11089,4324,10776,5124,45679,0,171877880
dbcolproj_83690_1_128,dtu,0,537406,209271,10492,5669,10526,5274,50587,83744,171877880
dbcolproj_83690_2_128,cpu,0,5048840,2266455,326975,22104,180212,10905,503788,0,342387978
dbcolproj_83690_2_128,col,0,1091508,2433835,22008,3898,21426,10366,53193,0,342387978
dbcolproj_83690_2_128,dtu,0,1064659,425288,21093,9569,21280,10654,87164,167424,342387978
dbcolproj_83690_3_128,cpu,0,7055680,3110147,451406,28843,269622,16353,682149,0,514432714
dbcolproj_83690_3_128,col,0,1842890,3347633,32428,5759,31945,15522,78499,0,514432714
dbcolproj_83690_3_128,dtu,0,1579221,627721,31463,14786,31563,15760,134057,251120,514432714
dbcolproj_83690_4_128,cpu,0,8698732,3953839,526204,36859,360483,21903,821074,0,685980259
dbcolproj_83690_4_128,col,0,2843015,4268223,42391,7576,42710,20746,102998,0,685980259
dbcolproj_83690_4_128,dtu,0,2120046,843738,42166,19805,42298,21059,179688,334816,685980259
dbcolproj_83690_5_128,cpu,0,9996890,4783947,575706,41765,449521,27210,909817,0,857049531
dbcolproj_83690_5_128,col,0,3965563,5195605,53008,11044,53730,26077,141359,0,857049531
dbcolproj_83690_5_128,dtu,0,2638954,1052963,52555,25014,52831,26349,226514,418492,857049531
dbcolproj_83690_6_128,cpu,0,11197500,5629247,633223,46834,537677,32674,1007870,0,1027961808
dbcolproj_83690_6_128,col,0,8042479,8258705,66147,15778,97625,50368,192372,0,1027961808
dbcolproj_83690_6_128,dtu,0,3131158,1262188,62917,29492,63340,31540,267452,502176,1027961808
dbcolproj_83690_7_128,cpu,0,12314496,6464539,684820,51261,629950,38205,1094880,0,1199226824
dbcolproj_83690_7_128,col,0,10061053,9561284,77027,19882,115116,59268,236083,0,1199226824
dbcolproj_83690_7_128,dtu,0,6493735,3963606,75873,35047,110848,56840,319615,585898,1199226824
dbcolproj_83690_8_128,cpu,0,13515049,7308231,724829,60795,719503,43624,1211146,32,1370690087
dbcolproj_83690_8_128,col,0,12331190,10825409,88152,24729,129999,66469,285993,0,1370690087
dbcolproj_83690_8_128,dtu,0,7409605,4546876,86913,39756,128890,67437,363090,669546,1370690087
