benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
im2col_720_1080_3_3,dtu,0,290984990,169901064,1835446,1387031,104510508.703681
im2col_720_1080_3_4,cpu,955807827,1468192186,906163221,18434609,7347043,185368372.285505
im2col_720_1080_3_4,dtu,0,515006227,300896549,3290859,2438443,185368372.285505
im2col_720_1080_3_5,cpu,1489853281,2298536586,1413096638,29249016,11488668,288966436.730617
im2col_720_1080_3_5,dtu,0,800875253,469299798,4861293,3820796,288966436.730617
im2col_512_512_3_2,cpu,50772522,94460901,63357445,893299,596025,15660739.682568
im2col_512_512_3_2,dtu,0,44508247,25584568,293853,216095,15660739.682568
im2col_512_512_3_3,cpu,113748967,210833241,141726563,1939805,1329417,35097764.368288
im2col_512_512_3_3,dtu,0,98273513,57094854,593933,501174,35097764.368288
im2col_512_512_3_4,cpu,320733386,494616198,303937227,6303985,2367044,62151040.594557
im2col_512_512_3_4,dtu,0,174372211,100947015,1219912,816411,62151040.594557
im2col_512_512_3_5,cpu,499380911,771772892,473641575,9828985,3779397,96728317.448405
im2col_512_512_3_5,dtu,0,272453510,157222724,1605209,1355747,96728317.448405
