benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x64x64x128,cpu,193172955,423177855,349593559,7908820,2319469,9757982,4192817,26464557,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,233544628,223560520,3364154,1165107,5456375,2336725,11636272,16779680,2113929216
tensor_unfold_2_32x64x64x128,cpu,272231371,501899878,382958922,13923275,2350089,17281970,4452134,32723970,0,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,228376435,223552748,3371735,1165662,5410409,2349571,11648296,16779488,2113929216
tensor_unfold_3_32x64x64x128,cpu,752024847,981810195,383785565,21651757,2352318,25457963,3976143,40470303,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,236481459,223574431,3364602,1165880,5450514,2330179,11642943,16779328,2113929216
tensor_unfold_4_32x64x64x128,cpu,1633067515,1862767158,383651835,21676931,2339937,30660453,4293657,40396435,48,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,522833639,224066185,3393199,1169329,5320073,2233686,11699132,16779184,2113929216
tensor_unfold_1_8x64x64x128,cpu,53579126,101404668,85100511,1651260,545139,2265419,784366,6012373,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,55514454,55744744,824371,283263,1228316,525945,2828319,4194512,-545259520
tensor_unfold_2_8x64x64x128,cpu,44246975,92146800,77479716,3368671,545227,3721520,786333,7730471,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,54254919,55738670,823928,282955,1233504,529676,2825400,4194544,-545259520
tensor_unfold_3_8x64x64x128,cpu,179364122,227225632,77731158,5323355,546255,5919221,789643,9693386,16,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,55564531,55743769,826130,283062,1219299,525556,2828458,4194544,-545259520
tensor_unfold_4_8x64x64x128,cpu,366879462,414765761,77630826,5355350,546551,6723522,796566,9727751,0,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,124665129,55861332,831465,284065,1193240,492822,2841831,4194464,-545259520
tensor_unfold_1_32x64x64x128,cpu,194015628,424092169,349594548,7898774,2320048,9847375,4209288,26459151,0,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,233389091,223551102,3363880,1165286,5452819,2335894,11637429,16779728,2113929216
tensor_unfold_2_32x64x64x128,cpu,272785667,502801754,382964239,13925078,2351242,17281945,4453856,32735007,0,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,228477686,223559054,3371784,1165184,5409853,2347450,11644538,16779344,2113929216
tensor_unfold_3_32x64x64x128,cpu,753459195,983201715,383804631,21640847,2353092,25585473,3987539,40465569,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,236415793,223580309,3365170,1165761,5446707,2328719,11642509,16779680,2113929216
tensor_unfold_4_32x64x64x128,cpu,1631704288,1861396825,383663407,21680313,2340548,30663577,4295860,40404698,16,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,522736997,224087751,3401855,1169400,5249991,2227036,11708330,16779328,2113929216
tensor_unfold_1_8x64x64x128,cpu,53556144,101511854,85081897,1651196,545275,2269703,787254,6013396,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,56359900,55745124,841165,295610,1234255,537213,2942664,4213968,-545259520
tensor_unfold_2_8x64x64x128,cpu,44264455,92091111,77481279,3368916,545492,3719133,783663,7732843,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,54902774,55743604,841021,295570,1236808,540727,2942207,4213856,-545259520
tensor_unfold_3_8x64x64x128,cpu,179395971,227320995,77739338,5323330,546089,5921808,791041,9692035,0,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,56049979,55743898,839112,295917,1242881,538621,2943151,4212608,-545259520
tensor_unfold_4_8x64x64x128,cpu,366931615,414807231,77627924,5354456,546508,6723479,794123,9726521,0,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,125468503,55860886,848280,296519,1200585,507154,2957194,4211792,-545259520
