benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_512_512_3_3,dtu,0,53309753,57017984,468773,24153,546853,19110,213339,7178560,35097764.368288
im2col_512_512_3_4,cpu,131709089,201356587,303564709,2266144,838570,3403918,1301872,8974705,0,62151040.594557
im2col_512_512_3_4,dtu,0,93138650,100823409,802933,26264,997908,48892,234958,12449392,62151040.594557
im2col_512_512_3_5,cpu,204862129,311179205,473102333,3544624,1300785,5237694,2015293,13950905,0,96728317.448405
im2col_512_512_3_5,dtu,0,125013625,156958246,1257201,41248,1293560,49388,373198,19423664,96728317.448405
im2col_720_1080_3_2,cpu,41548092,93486121,187782148,1827822,661936,1827081,638589,7123312,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64650947,75908684,635745,55768,656919,58415,499607,9316400,46556225.682564
im2col_720_1080_3_3,cpu,220736066,337336701,510416586,4126923,1423690,5522864,2181140,15516445,0,104510508.703681
im2col_720_1080_3_3,dtu,0,145486996,169671608,1368304,59627,1480737,78078,538683,20906192,104510508.703681
im2col_720_1080_3_4,cpu,391824146,591656076,904681331,7283412,2466568,9684070,3808497,27015958,0,185368372.285505
im2col_720_1080_3_4,dtu,0,240550627,300435904,2390683,63596,2532235,87647,580209,37107872,185368372.285505
im2col_720_1080_3_5,cpu,609451714,923217712,1410805199,11372226,3847129,15347064,5970260,42149260,0,288966436.730617
im2col_720_1080_3_5,dtu,0,373741102,468599866,3752998,112024,3899122,151121,1031275,57886528,288966436.730617
im2col_512_512_3_2,cpu,14043059,31684336,63242326,582702,238736,647594,214478,2492593,0,15660739.682568
im2col_512_512_3_2,dtu,0,22606039,25546533,213791,22086,250521,17641,194584,3134336,15660739.682568
im2col_512_512_3_3,cpu,31707091,73517171,141499187,1298325,479024,1432679,459513,5130519,0,35097764.368288
im2col_512_512_3_3,dtu,0,53346276,57019428,468761,24168,546004,19046,213588,7176272,35097764.368288
im2col_512_512_3_4,cpu,131652776,201399263,303564950,2266156,839740,3383576,1295709,8984077,0,62151040.594557
im2col_512_512_3_4,dtu,0,93127978,100815135,802072,26025,997879,48979,232164,12449728,62151040.594557
im2col_512_512_3_5,cpu,205285841,311051135,473082392,3543117,1300300,5225984,1998731,13945518,0,96728317.448405
